AlertID,creationTimeUtc,AlertTimestamp,severity,category,status,AlertName,AlertDescription,recommendedActions,vendorInformation,properties,AlertCategory,AlertSeverity,Technique,AffectedHost,AffectedProcess,AffectedFilePath,Commandline,ParentProcess,ProcessCommandLine,DetectionMethod,RecommendedActions,source,tactic,device_name,action,file_name,file_size,src_path,dst_path,Severity,Name,Event,AlertType,MachineId,Category,AlertId,EventTime,ExtendedProperties,ComputerName,Status,AlertDetails,EndpointDetails,DetectionSource,DetectionID,EventHash,AffectedEntities,Tactic,KillChainPhase,HostName,FilePath,ProcessName,CommandLine,MD5Hash,SHA256Hash,IPAddress,UserName,ProcessID,ParentProcessID,hostname,ip_address,os,pid,command_line,access_type,operation,DeviceName,DeviceId,OsPlatform,OsVersion,ProcessCreationTime,ParentProcessName,ParentProcessCommandLine,ParentProcessCreationTime,TargetDevice,TargetDeviceId,TargetOsPlatform,TargetOsVersion,TargetUserName,EntityType,EntityName,OS,References,KillChain,MachineDomainName,MachineName,AlertLink,Recommendation,Vendor,Product,Path,Hash,Protocol,SourceIp,SourcePort,DestinationIp,DestinationPort,DomainName,URL,Type,EndpointID,EndpointName,ParentProcessPath,ProcessPath,Source,Host,User,Target,Port,Action,Reason,ProcessPid,ParentProcessPid,Direction,RemoteServiceName,RemoteServiceType,RemoteServicePorts,RemoteServiceIpv4,RemoteServiceIpv6,RemoteServiceUrl,RemoteServiceCertificate,RemoteServiceEncryption,RemoteServiceAuthentication,RemoteServiceVersion,RemoteServiceProduct,RemoteServiceOrganization,TargetUser,OriginalPermissions,NewPermissions,Field,Operator,Value,Tags,InjectedProcessName,InjectionTechnique,ControlName,sha1_hash,file_path,process_name,process_path,HostIP,AdditionalInfo,RegistryKey,RegistryValue,CloudProvider,APIOperation,TECHNIQUE,SourceIPAddress,DestinationIPAddress,Domain,ThreatName,IOC,ProcessHash,Hostname,SourceIP,DestinationIP,AttackType,AttackDuration,AffectedServices,AffectedHostname,AlertSource,alert_severity,action_taken,detection_source,Affected_Hostname,Injected_Process_Name,Parent_Process_Name,Injection_Technique,Alert_Source,machine_id,user_id,process_id,process_command_line,alert_type,alert_name,remote_address,remote_port,local_address,local_port,protocol,RemovableMediaName,RemovableMediaVendor,RemovableMediaType,RemovableMediaSerialNumber,RemovableMediaCapacity,RemovableMediaAccessedTime,RemovableMediaAction,AffectedFileSize,TechniqueName,IP,OSVersion,EventType,EventCategory,TargetResource,Operation,SuspiciousAction,Domain_Controller_IP,Domain_Controller_Name,ParentCommandLine,EventID,ParentHash,ExecutionStatus,EntityValue,Condition,Description,Endpoint,RemediationSteps,EventId,ProcessId,CloudAccount,local_ip,public_ip,detection_method,file_hash,malware_family,TECHNIQUE_NAME,TACTIC,Signer,Process Name,PID,AttackTactic,AttackTechnique,EntityId,EntityIp,Details,TimestampUtc,SHA256,WebServiceName,WebServicePath,type,vendor,path,domain,host,Affected_Device,Affected_User,Malicious_Executable,Username,ContainerImageName,ContainerRuntime,DeploymentMethod,ParentProcessId,AlertDDescription,Endpoint_ID,Endpoint_Name,Endpoint_IP,Process_Name,EndpointIP,C2Server,ExfiltratedData,ExfiltrationMethod,UserDomain,ProcessParentName,ProcessParentID,ArtifactType,ArtifactPath,ArtifactName,AleertDescription,AlertTimestamps,native_function_calls,source_ip,destination_ip,process_hash,parent_process_name,parent_process_hash,Detection_Details,Process_Path,Process_Command_Line,AffectedFile_Path,AlertTime,UserInfo,PhishingInfo,AffectedImagePath,AffectedEndpoints,IndicatorsOfCompromise,Loader_Process_Name,Loader_Technique,ProcessParentPath,ProcessParentHash,ImageLoaded,TargetImageLoaded,TargetImageName,TargetCommandLine,KillchainPhase,TechniqueID,Techniqu,MACAddress,AlertyDescription,EventLogName,EventLogMessage,OperatingSystem,FallbackProtocol,Alertescription,modified_time,original_hash,current_hash,RemoteServer,affected_host,alert_category,alert_recommendation,alert_details,RuleName,ProcessParentCommandLine,AttackVector,AlertTimestampUtc,WebServerUrl,WebServerMethod,technique,remote_ip,ClosedTime,DataTTL,DetectionTime,DetectionType,IsIncident,LastUpdateTime,DnsName,FullyQualifiedDomainName,NetBiosName,OSPlatform,ProcessorArchitecture,CreationTime,End,FileHash,FileName,Start,VendorName,VendorSeverity,VendorThreatName,combined_data
1234,,2023-03-10T12:00:00Z,High,Endpoint Detection and Response,,Direct Volume Access,Adversaries may directly access a volume to bypass file access controls and file system monitoring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmd.exe,,,,,,,,MyComputer,192.168.1.100,Windows 10,123,cmd.exe /c net user test test123 /add,Direct,Write,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 1234. AlertTimestamp is 2023-03-10T12:00:00Z. severity is High. category is Endpoint Detection and Response. AlertName is Direct Volume Access. AlertDescription is Adversaries may directly access a volume to bypass file access controls and file system monitoring.. ProcessName is cmd.exe. hostname is MyComputer. ip_address is 192.168.1.100. os is Windows 10. command_line is cmd.exe /c net user test test123 /add. access_type is Direct. operation is Write. 
934445,,2022-03-20T15:45:00Z,,,,Potential disk wiping activity detected,dversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources.,,,,,,,,,,,,cmd /c format c:,,,,,,,,,,,High,,,Behavior,,Disk Wipe,,,,,,,,EDR,,,,,,,C:\Windows\System32\cmd.exe,cmd.exe,,,,,user123,,,,,,,,,,example-device,123456,Windows,10.0.19042,2022-03-20T15:40:00Z,explorer.exe,explorer.exe,2022-03-20T15:30:00Z,example-device2,789012,Windows,10.0.19042,user456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 934445. AlertTimestamp is 2022-03-20T15:45:00Z. AlertName is Potential disk wiping activity detected. AlertDescription is dversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources.. ProcessCommandLine is cmd /c format c:. Severity is High. AlertType is Behavior. Category is Disk Wipe. DetectionSource is EDR. FilePath is C:\Windows\System32\cmd.exe. ProcessName is cmd.exe. UserName is user123. DeviceName is example-device. OsPlatform is Windows. OsVersion is 10.0.19042. ProcessCreationTime is 2022-03-20T15:40:00Z. ParentProcessName is explorer.exe. ParentProcessCommandLine is explorer.exe. ParentProcessCreationTime is 2022-03-20T15:30:00Z. TargetDevice is example-device2. TargetOsPlatform is Windows. TargetOsVersion is 10.0.19042. TargetUserName is user456. 
98888,,2022-03-06T14:35:00Z,,,,Drive-by Compromise Detected,This alert fires when a drive-by compromise attempt is detected on an endpoint.,,,,Malware,,,,,,,,"""C:\Program Files\Google\Chrome\Application\chrome.exe""",,"['Isolate the affected host immediately', 'Scan the host with an antivirus or EDR tool', 'Investigate the network traffic and identify the source of the attack']",,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,chrome.exe,,ab1234567890,cdef1234567890abcdef1234567890abcdef1234567890abcdef1234567890,192.168.1.101,,,,,,,,,,,,,,,,,,,,,,,,Host,COMPANY-PC01,Windows 10,"['https://attack.mitre.org/techniques/T1189/', 'https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-atp/drive-by-compromise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 098888. AlertTimestamp is 2022-03-06T14:35:00Z. AlertName is Drive-by Compromise Detected. AlertDescription is This alert fires when a drive-by compromise attempt is detected on an endpoint.. AlertCategory is Malware. ProcessCommandLine is C:\Program Files\Google\Chrome\Application\chrome.exe. RecommendedActions are Isolate the affected host immediately; Scan the host with an antivirus or EDR tool; Investigate the network traffic and identify the source of the attack; Severity is High. ProcessName is chrome.exe. MD5Hash is ab1234567890. SHA256Hash is cdef1234567890abcdef1234567890abcdef1234567890abcdef1234567890. IPAddress is 192.168.1.101. EntityType is Host. EntityName is COMPANY-PC01. OS is Windows 10. References are https://attack.mitre.org/techniques/T1189/; https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-atp/drive-by-compromise; 
9989898,,2022-03-08T14:32:47Z,,,,Denial of Service,Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.,,,,,High,,,,,,,cmd.exe /c ping -n 10000 127.0.0.1,,,,,,,,,,,,,,,,,,,,,,,,Behavior monitoring,,,,,,,,cmd.exe,,,,192.168.1.101,acme\jdoe,1224,,,,,,,,,,,,,,,,,,,,,,,,,,"['Delivery', 'Exploitation']",acme.local,WIN10-PC,https://securitycenter.windows.com/alert/1234567890,Isolate the affected machine from the network to prevent further damage and investigate the root cause of the attack.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 9989898. AlertTimestamp is 2022-03-08T14:32:47Z. AlertName is Denial of Service. AlertDescription is Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.. AlertSeverity is High. ProcessCommandLine is cmd.exe /c ping -n 10000 127.0.0.1. DetectionSource is Behavior monitoring. ProcessName is cmd.exe. IPAddress is 192.168.1.101. UserName is acme\jdoe. KillChain are Delivery; Exploitation; MachineDomainName is acme.local. MachineName is WIN10-PC. AlertLink is https://securitycenter.windows.com/alert/1234567890. Recommendation is Isolate the affected machine from the network to prevent further damage and investigate the root cause of the attack.. 
111235,,2023-03-08T12:00:00.000000Z,,,,Exfiltration Over Alternative Protocol,"This alert is triggered when an adversary attempts to exfiltrate data using a protocol or service that is not typically used for this purpose, such as DNS or ICMP, using a command-line interface.",,,,,,,,,,,,,Behavior Monitoring,,,,,,,,,,High,,,,,Data Exfiltration,,,,,,,,,,,,,,,,,nslookup example.com 8.8.8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is 111235. AlertTimestamp is 2023-03-08T12:00:00.000000Z. AlertName is Exfiltration Over Alternative Protocol. AlertDescription is This alert is triggered when an adversary attempts to exfiltrate data using a protocol or service that is not typically used for this purpose, such as DNS or ICMP, using a command-line interface.. DetectionMethod is Behavior Monitoring. Severity is High. Category is Data Exfiltration. CommandLine is nslookup example.com 8.8.8.8. "
2049090,,2022-03-10T15:30:00Z,,,,Exploit Public-Facing Application,An attempt was made to exploit a public-facing application on the endpoint.,,,,,,Exploit Public-Facing Application,,,,,,,,,,,,,,,,,High,Chrome,,ThreatDetection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft,Defender for Endpoint,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,5C6FCC7895CA5A218D8E3A9FDF56DEA1,HTTPS,192.168.1.100,54678,198.51.100.1,443,example.com,https://example.com/login,EDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 02049090. AlertTimestamp is 2022-03-10T15:30:00Z. AlertName is Exploit Public-Facing Application. AlertDescription is An attempt was made to exploit a public-facing application on the endpoint.. Technique is Exploit Public-Facing Application. Severity is High. Name is Chrome. AlertType is ThreatDetection. Vendor is Microsoft. Product is Defender for Endpoint. Path is C:\Program Files (x86)\Google\Chrome\Application\chrome.exe. Hash is 5C6FCC7895CA5A218D8E3A9FDF56DEA1. Protocol is HTTPS. SourceIp is 192.168.1.100. DestinationIp is 198.51.100.1. DomainName is example.com. URL is https://example.com/login. Type is EDR. 
030406fy,,2022-06-01T09:17:23Z,,,,Exploitation for Client Execution,Exploitation for Client Execution was detected on COMPANY-PC-01. The process 'cmd.exe' was launched with the following command line arguments: '/c powershell.exe -ExecutionPolicy Bypass -WindowStyle Hidden -NoProfile -EncodedCommand JAB3AD4.....'.,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cmd.exe,/c powershell.exe -ExecutionPolicy Bypass -WindowStyle Hidden -NoProfile -EncodedCommand JAB3AD4.....,,2a725f4d3d3dc6f3251a852f7686e8c6d7b6c98f17a0b0a51d6409aa9c32b327,,,,,,,,,,,,,,,,,explorer.exe,,,,,,,,,,,,,,,,Review the process and the associated arguments to determine if this was a legitimate action or if further investigation is needed. Consider blocking or restricting the use of Powershell or other scripting languages where appropriate.,,,,,,,,,,,,,123456,COMPANY-PC-01,C:\Windows\explorer.exe,C:\Windows\system32\cmd.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 030406fy. AlertTimestamp is 2022-06-01T09:17:23Z. AlertName is Exploitation for Client Execution. AlertDescription is Exploitation for Client Execution was detected on COMPANY-PC-01. The process 'cmd.exe' was launched with the following command line arguments: '/c powershell.exe -ExecutionPolicy Bypass -WindowStyle Hidden -NoProfile -EncodedCommand JAB3AD4.....'.. AlertSeverity is High. ProcessName is cmd.exe. CommandLine is /c powershell.exe -ExecutionPolicy Bypass -WindowStyle Hidden -NoProfile -EncodedCommand JAB3AD4...... SHA256Hash is 2a725f4d3d3dc6f3251a852f7686e8c6d7b6c98f17a0b0a51d6409aa9c32b327. ParentProcessName is explorer.exe. Recommendation is Review the process and the associated arguments to determine if this was a legitimate action or if further investigation is needed. Consider blocking or restricting the use of Powershell or other scripting languages where appropriate.. EndpointName is COMPANY-PC-01. ParentProcessPath is C:\Windows\explorer.exe. ProcessPath is C:\Windows\system32\cmd.exe. 
20490,,2023-03-10T12:00:00Z,,,,Exploitation for Defense,"dversaries may exploit a system or application vulnerability to bypass security features. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code.",,,,,,Exploitation for Defense Evasion,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,Defense Evasion,,,C:\Windows\system32\cmd.exe,cmd.exe,cmd.exe /c echo hello world,,,192.168.1.100,,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCP,,,,,,,,,,,,Endpoint,server01,admin,Windows,4444,Blocked,Exploit detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is 020490. AlertTimestamp is 2023-03-10T12:00:00Z. AlertName is Exploitation for Defense. AlertDescription is dversaries may exploit a system or application vulnerability to bypass security features. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code.. Technique is Exploitation for Defense Evasion. Severity is High. Tactic is Defense Evasion. FilePath is C:\Windows\system32\cmd.exe. ProcessName is cmd.exe. CommandLine is cmd.exe /c echo hello world. IPAddress is 192.168.1.100. Protocol is TCP. Source is Endpoint. Host is server01. User is admin. Target is Windows. Action is Blocked. Reason is Exploit detected. "
20304,,2022-04-01T14:30:00Z,,,,External Remote Services Connection,A connection to an external remote service has been detected.,,,,,,,,,,,,"explorer.exe /root,C:\Windows\system32",,"['Block the connection to the external remote service.', 'Investigate the process and parent process to determine if they are legitimate.']",,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,explorer.exe,,,,,,,,,,,,,,,,,,,,cmd.exe,cmd.exe /c dir,,,,,,,,,,,,,,,,,,,,TCP,,,10.0.0.2,8080,,,,,,C:\Windows\system32\cmd.exe,C:\Windows\explorer.exe,,,,,,,,1234,5678,Outbound,Unknown,Unknown,"['8080', '8443']",10.0.0.2,,http://10.0.0.2:8080,,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is 020304. AlertTimestamp is 2022-04-01T14:30:00Z. AlertName is External Remote Services Connection. AlertDescription is A connection to an external remote service has been detected.. ProcessCommandLine is explorer.exe /root,C:\Windows\system32. RecommendedActions are Block the connection to the external remote service.; Investigate the process and parent process to determine if they are legitimate.; Severity is High. ProcessName is explorer.exe. ParentProcessName is cmd.exe. ParentProcessCommandLine is cmd.exe /c dir. Protocol is TCP. DestinationIp is 10.0.0.2. ParentProcessPath is C:\Windows\system32\cmd.exe. ProcessPath is C:\Windows\explorer.exe. Direction is Outbound. RemoteServiceName is Unknown. RemoteServiceType is Unknown. RemoteServicePorts are 8080; 8443; RemoteServiceIpv4 is 10.0.0.2. RemoteServiceUrl is http://10.0.0.2:8080. RemoteServiceEncryption is Unknown. RemoteServiceAuthentication is Unknown. RemoteServiceVersion is Unknown. RemoteServiceProduct is Unknown. RemoteServiceOrganization is Unknown. "
20405,,2023-03-10T13:00:00Z,,,,Permissions Modification,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.,,,,,,File and Directory Permissions Modification,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,Defense Evasion,,,C:\Windows\system32\config\SAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endpoint,workstation01,user01,,,Blocked,Unauthorized file permission change,,,,,,,,,,,,,,,,SYSTEM,Full Control,Read-only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlertID is 020405. AlertTimestamp is 2023-03-10T13:00:00Z. AlertName is Permissions Modification. AlertDescription is Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.. Technique is File and Directory Permissions Modification. Severity is Medium. Tactic is Defense Evasion. FilePath is C:\Windows\system32\config\SAM. Source is Endpoint. Host is workstation01. User is user01. Action is Blocked. Reason is Unauthorized file permission change. TargetUser is SYSTEM. OriginalPermissions is Full Control. NewPermissions is Read-only. 
032040f06,,2022-03-06T09:18:56Z,,,,Firmware Corruption,"Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system.",,,,,,,,,,,,"cmd.exe /c rundll32.exe bios.dll,CorruptFirmware",EDR,,,,,,,,,,High,,,,12345,Firmware Attack,,,,,,,,,,,,,,,,cmd.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESKTOP-ABC123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is 032040f06. AlertTimestamp is 2022-03-06T09:18:56Z. AlertName is Firmware Corruption. AlertDescription is Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system.. ProcessCommandLine is cmd.exe /c rundll32.exe bios.dll,CorruptFirmware. DetectionMethod is EDR. Severity is High. MachineId is 12345. Category is Firmware Attack. ProcessName is cmd.exe. MachineName is DESKTOP-ABC123. "
0000w0r,,,,,,Hardware Additions,"Adversaries may introduce computer accessories, networking hardware, or other computing devices into a system or network that can be used as a vector to gain access.",,,,,,,,,,,,,,"['Investigate the hardware addition to determine if it is legitimate or unauthorized', 'If the hardware is unauthorized, remove it from the endpoint immediately', 'Consider implementing endpoint security controls to prevent unauthorized hardware additions']",,,,,,,,,High,,,EndpointDetection,,Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EventType,Equals,HardwareAddition,"['T1200', 'Hardware Additions', 'Endpoint Detection']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is 0000w0r. AlertName is Hardware Additions. AlertDescription is Adversaries may introduce computer accessories, networking hardware, or other computing devices into a system or network that can be used as a vector to gain access.. RecommendedActions are Investigate the hardware addition to determine if it is legitimate or unauthorized; If the hardware is unauthorized, remove it from the endpoint immediately; Consider implementing endpoint security controls to prevent unauthorized hardware additions; Severity is High. AlertType is EndpointDetection. Category is Malware. Field is EventType. Operator is Equals. Value is HardwareAddition. Tags are T1200; Hardware Additions; Endpoint Detection; "
dkfkgl,,2023-03-10T15:00:00Z,,,,Hijack Execution Flow,"Hijacking execution flow can be for the purposes of persistence, since this hijacked execution may reoccur over time.",,,,,,Hijack Execution Flow,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,Defense Evasion,,,,svchost.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endpoint,server01,user01,,,Blocked,Unauthorized process injection,,,,,,,,,,,,,,,,,,,,,,,malware.exe,Reflective DLL Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is dkfkgl. AlertTimestamp is 2023-03-10T15:00:00Z. AlertName is Hijack Execution Flow. AlertDescription is Hijacking execution flow can be for the purposes of persistence, since this hijacked execution may reoccur over time.. Technique is Hijack Execution Flow. Severity is High. Tactic is Defense Evasion. ProcessName is svchost.exe. Source is Endpoint. Host is server01. User is user01. Action is Blocked. Reason is Unauthorized process injection. InjectedProcessName is malware.exe. InjectionTechnique is Reflective DLL Injection. "
0294fty,,2023-03-10T16:00:00Z,,,,Impair Defenses,"Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms. This not only involves impairing preventative defenses, such as firewalls and anti-virus, but also detection capabilities that defenders can use to audit activity and identify malicious behavior.",,,,,,Impair Defenses,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,Defense Evasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endpoint,laptop01,user01,,,Blocked,Unauthorized security control disablement,,,,,,,,,,,,,,,,,,,,,,,,,Windows Defender Antivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AlertID is 0294fty. AlertTimestamp is 2023-03-10T16:00:00Z. AlertName is Impair Defenses. AlertDescription is Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms. This not only involves impairing preventative defenses, such as firewalls and anti-virus, but also detection capabilities that defenders can use to audit activity and identify malicious behavior.. Technique is Impair Defenses. Severity is High. Tactic is Defense Evasion. Source is Endpoint. Host is laptop01. User is user01. Action is Blocked. Reason is Unauthorized security control disablement. ControlName is Windows Defender Antivirus. "
